,lon,lat,forestcoverfraction
938,75.75,17.75,9.0
939,75.75,18.25,11.0
940,75.75,18.75,11.0
941,75.75,19.25,13.0
942,75.75,19.75,11.0
943,75.75,20.25,9.0
944,75.75,20.75,9.0
945,75.75,21.25,9.0
946,75.75,21.75,6.0
947,75.75,22.25,7.0
948,75.75,22.75,7.0
949,75.75,23.25,6.0
950,75.75,23.75,7.0
951,75.75,24.25,8.0
952,75.75,24.75,4.0
953,75.75,25.25,4.0
954,75.75,25.75,3.0
955,75.75,26.25,2.0
956,75.75,26.75,2.0
957,75.75,27.25,3.0
958,75.75,27.75,3.0
959,75.75,28.25,2.0
960,75.75,28.75,1.0
961,75.75,29.25,2.0
962,75.75,29.75,6.0
963,75.75,30.25,11.0
964,75.75,30.75,12.0
965,75.75,31.25,9.0
966,75.75,31.75,14.0
967,75.75,32.25,15.0
968,75.75,32.75,32.0
969,75.75,33.25,31.0
970,75.75,33.75,14.0
971,75.75,34.25,3.0
972,75.75,34.75,1.0
973,75.75,35.25,2.0
974,75.75,35.75,1.0
975,75.75,36.25,1.0
976,76.25,6.25,
977,76.25,6.75,
978,76.25,7.25,
979,76.25,7.75,
980,76.25,8.25,
981,76.25,8.75,
982,76.25,9.25,30.0
983,76.25,9.75,31.0
984,76.25,10.25,30.0
985,76.25,10.75,33.0
986,76.25,11.25,51.0
987,76.25,11.75,31.0
988,76.25,12.25,12.0
989,76.25,12.75,4.0
990,76.25,13.25,3.0
991,76.25,13.75,3.0
992,76.25,14.25,3.0
993,76.25,14.75,3.0
994,76.25,15.25,4.0
995,76.25,15.75,4.0
996,76.25,16.25,6.0
997,76.25,16.75,7.0
998,76.25,17.25,9.0
999,76.25,17.75,10.0
1000,76.25,18.25,12.0
1001,76.25,18.75,12.0
1002,76.25,19.25,14.0
1003,76.25,19.75,11.0
1004,76.25,20.25,11.0
1005,76.25,20.75,9.0
1006,76.25,21.25,8.0
1007,76.25,21.75,8.0
1008,76.25,22.25,7.0
1009,76.25,22.75,6.0
1010,76.25,23.25,7.0
1011,76.25,23.75,7.0
1012,76.25,24.25,7.0
1013,76.25,24.75,5.0
1014,76.25,25.25,5.0
1015,76.25,25.75,4.0
1016,76.25,26.25,2.0
1017,76.25,26.75,3.0
1018,76.25,27.25,5.0
1019,76.25,27.75,4.0
1020,76.25,28.25,3.0
1021,76.25,28.75,2.0
1022,76.25,29.25,3.0
1023,76.25,29.75,7.0
1024,76.25,30.25,13.0
1025,76.25,30.75,15.0
1026,76.25,31.25,12.0
1027,76.25,31.75,19.0
1028,76.25,32.25,24.0
1029,76.25,32.75,27.0
1030,76.25,33.25,13.0
1031,76.25,33.75,2.0
1032,76.25,34.25,2.0
1033,76.25,34.75,1.0
1034,76.25,35.25,1.0
1035,76.25,35.75,1.0
