,lat,lon,forestcoverfraction,year_month,count,sum_frp
478,26.75,90.75,43,2012-11,3,60.3
479,26.75,90.75,43,2012-12,7,198.7
480,26.75,90.75,43,2013-01,18,926.6
481,26.75,90.75,43,2013-02,20,650.3000000000001
482,26.75,90.75,43,2013-03,11,377.2
483,26.75,90.75,43,2013-11,2,106.8
484,26.75,90.75,43,2013-12,2,84.3
485,26.75,90.75,43,2014-01,18,1504.1
486,26.75,90.75,43,2014-02,18,699.5
487,26.75,90.75,43,2014-03,10,479.6
488,26.75,90.75,43,2014-04,10,345.2
489,26.75,90.75,43,2014-11,2,103.8
490,26.75,90.75,43,2014-12,13,668.5
491,26.75,90.75,43,2015-01,8,378.6
492,26.75,90.75,43,2015-02,32,1721.1999999999998
493,26.75,90.75,43,2015-03,17,586.9
494,26.75,90.75,43,2015-12,9,401.7
495,26.75,90.75,43,2016-01,10,518.4
496,26.75,90.75,43,2016-02,8,191.7
497,26.75,90.75,43,2016-03,1,13.0
498,26.75,90.75,43,2016-11,7,216.6
499,26.75,90.75,43,2016-12,8,288.70000000000005
500,26.75,90.75,43,2017-01,22,785.4
501,26.75,90.75,43,2017-02,5,132.79999999999998
502,26.75,90.75,43,2017-03,2,65.5
503,26.75,90.75,43,2017-12,3,125.9
504,26.75,90.75,43,2018-01,5,197.2
505,26.75,90.75,43,2018-02,10,629.4
506,26.75,90.75,43,2018-03,3,267.4
507,26.75,90.75,43,2018-11,1,18.0
508,26.75,90.75,43,2018-12,4,77.0
509,26.75,90.75,43,2019-01,18,931.2
510,26.75,90.75,43,2019-02,15,1211.3
511,26.75,90.75,43,2019-03,2,38.099999999999994
512,26.75,90.75,43,2020-01,2,122.7
513,26.75,90.75,43,2020-02,9,350.7
514,26.75,90.75,43,2020-03,7,403.2
515,26.75,90.75,43,2020-04,2,31.6
516,26.75,90.75,43,2020-10,2,35.099999999999994
517,26.75,90.75,43,2020-12,1,22.3
518,26.75,90.75,43,2021-01,1,30.8
519,26.75,90.75,43,2021-02,14,624.3
520,26.75,90.75,43,2021-03,1,39.2
521,26.75,90.75,43,2021-09,2,47.0
522,26.75,90.75,43,2021-11,3,84.30000000000001
523,26.75,90.75,43,2021-12,6,403.7000000000001
524,26.75,90.75,43,2022-01,5,144.9
525,26.75,90.75,43,2022-02,8,226.2
526,26.75,90.75,43,2022-03,8,578.7
527,26.75,90.75,43,2023-01,1,17.7
528,26.75,90.75,43,2023-02,19,1075.1
529,26.75,90.75,43,2023-03,12,835.0
530,26.75,90.75,43,2023-12,3,133.5
531,26.75,90.75,43,2024-01,5,176.39999999999998
532,26.75,90.75,43,2024-02,20,813.7
533,26.75,90.75,43,2024-03,5,392.2
534,23.25,91.25,15,2001-03,1,17.9
535,23.25,91.25,15,2003-04,3,215.7
536,23.25,91.25,15,2004-03,2,107.5
537,23.25,91.25,15,2005-02,1,15.4
538,23.25,91.25,15,2005-03,4,135.3
539,23.25,91.25,15,2005-04,5,183.2
540,23.25,91.25,15,2006-02,1,21.5
541,23.25,91.25,15,2006-03,8,244.7
542,23.25,91.25,15,2007-03,3,120.1
543,23.25,91.25,15,2007-04,2,39.4
544,23.25,91.25,15,2008-04,1,39.7
545,23.25,91.25,15,2009-02,1,26.4
546,23.25,91.25,15,2011-04,2,43.900000000000006
547,23.25,91.25,15,2012-02,2,36.400000000000006
548,23.25,91.25,15,2012-04,1,18.8
549,23.25,91.25,15,2013-03,1,27.8
550,23.25,91.25,15,2013-04,2,87.3
551,23.25,91.25,15,2014-03,1,13.2
552,23.25,91.25,15,2014-04,1,8.9
553,23.25,91.25,15,2020-03,1,13.8
554,23.25,91.25,15,2021-02,1,16.4
555,23.25,91.25,15,2021-03,1,26.3
556,23.25,91.25,15,2022-04,1,22.0
557,23.25,91.25,15,2023-04,1,43.4
558,23.25,91.25,15,2023-05,2,201.7
559,23.75,91.25,17,2002-03,1,8.7
560,23.75,91.25,17,2003-03,3,84.0
561,23.75,91.25,17,2003-04,1,52.3
562,23.75,91.25,17,2004-03,1,17.7
563,23.75,91.25,17,2005-03,1,21.2
564,23.75,91.25,17,2005-04,8,451.0
565,23.75,91.25,17,2006-03,6,201.1
566,23.75,91.25,17,2006-04,1,19.1
567,23.75,91.25,17,2007-03,4,79.2
568,23.75,91.25,17,2007-04,2,72.3
569,23.75,91.25,17,2008-04,6,324.2
570,23.75,91.25,17,2009-01,1,23.6
571,23.75,91.25,17,2009-02,2,38.7
572,23.75,91.25,17,2009-03,3,55.5
573,23.75,91.25,17,2009-04,2,29.4
574,23.75,91.25,17,2010-02,3,96.3
575,23.75,91.25,17,2010-03,3,52.3
576,23.75,91.25,17,2011-03,2,30.3
577,23.75,91.25,17,2012-02,2,79.2
578,23.75,91.25,17,2012-03,1,16.1
579,23.75,91.25,17,2013-02,1,17.8
580,23.75,91.25,17,2013-03,1,28.9
581,23.75,91.25,17,2013-04,1,13.1
582,23.75,91.25,17,2015-03,4,86.9
583,23.75,91.25,17,2016-03,1,17.1
584,23.75,91.25,17,2017-02,1,18.7
585,23.75,91.25,17,2020-03,1,28.9
586,23.75,91.25,17,2022-03,1,20.2
587,23.75,91.25,17,2024-03,1,17.4
588,24.25,91.25,12,2003-04,1,82.4
589,24.25,91.25,12,2004-03,1,26.5
590,24.25,91.25,12,2005-04,6,548.1
